abstract,author,doi,url,publication month,publication year,title,publisher,crossref_field,semantic_field,label
". Reliable ship detection plays an important role in both military and civil fields. However, it makes the task difficult with high-resolution remote sensing images with complex background and various types of ships with different poses, shapes and scales. Related works mostly used gray and shape features to detect ships, which obtain results with poor robustness and efficiency. To detect ships more automatically and robustly, we propose a novel ship detection method based on the convolutional neural networks (CNNs), called SCNN, fed with specifically designed proposals extracted from the ship model combined with an improved saliency detection method. Firstly we creatively propose two ship models, the “V” ship head model and the “||” ship body one, to localize the ship proposals from the line segments extracted from a test image. Next, for offshore ships with relatively small sizes, which cannot be efficiently picked out by the ship models due to the lack of reliable line segments, we propose an improved saliency detection method to find these proposals. Therefore, these two kinds of ship proposals are fed to the trained CNN for robust and efficient detection. Experimental results on a large amount of representative remote sensing images with different kinds of ships with varied poses, shapes and scales demonstrate the efficiency and robustness of our proposed S-CNN-Based ship detector.","['Jiadong Zhang', 'Chen Feng', 'Kao Zhang', 'Jian Yao', 'Ruiqian Zhang']",10.5194/isprs-archives-xli-b7-423-2016,http://dx.doi.org/10.5194/isprs-archives-xli-b7-423-2016,6,2016,S-CNN-BASED SHIP DETECTION FROM HIGH-RESOLUTION REMOTE SENSING IMAGES,"['The International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences']","([],)",,Science
,"['Bingchang Qiu', 'Jie Chen', 'Libao Zhang']",10.1016/j.neucom.2015.11.093,http://dx.doi.org/10.1016/j.neucom.2015.11.093,2,2016,Region of interest extraction in remote sensing images by saliency analysis with the normal directional lifting wavelet transform,['Neurocomputing'],"(['Artificial Intelligence', 'Cognitive Neuroscience', 'Computer Science Applications'],)",,Artificial Intelligence/Robotics
,"['Tao Fang', 'Weibing Wan', 'Chaoyang Li', 'Na Liu', 'Yingying Yin']",10.1109/icalip.2016.7846579,http://dx.doi.org/10.1109/icalip.2016.7846579,7,2016,Coarse-to-fine ship detection using visual saliency fusion and feature encoding for optical satellite images,"['2016 International Conference on Audio, Language and Image Processing (ICALIP)']","([],)",,Science
,"['Gang Meng', 'Mengfei Wang', 'Haopeng Zhang', 'Zhiguo Jiang', 'Yuan Yao']",10.1117/12.2234677,http://dx.doi.org/10.1117/12.2234677,3,2016,Ship detection in panchromatic images: a new method and its DSP implementation,['2nd ISPRS International Conference on Computer Vision in Remote Sensing (CVRS 2015)'],"([],)",,Science
,"['Jing-Hong Liu', 'Fang Xu']",10.1007/s11801-016-6179-y,http://dx.doi.org/10.1007/s11801-016-6179-y,11,2016,Ship detection and extraction using visual saliency and histogram of oriented gradient,['Optoelectronics Letters'],"(['Electrical and Electronic Engineering', 'Condensed Matter Physics', 'Atomic and Molecular Physics, and Optics', 'Electronic, Optical and Magnetic Materials'],)",,Engineering
,"['Hu Lei', 'Qizhi Xu', 'Xie Xiaoyang']",10.1109/eorsa.2016.7552774,http://dx.doi.org/10.1109/eorsa.2016.7552774,7,2016,Fast ship detection from optical satellite images based on ship distribution probability analysis,['2016 4th International Workshop on Earth Observation and Remote Sensing Applications (EORSA)'],"([],)",,Science
,"['Hongmin Gao', 'Fengchen Huang', 'Chen Ning', 'Siqiu Shen', 'Xin Wang']",10.1364/ao.55.001381,http://dx.doi.org/10.1364/ao.55.001381,2,2016,Multi-class remote sensing object recognition based on discriminative sparse representation,['Applied Optics'],"([],)",,Science
,"['Benhui Shi', 'Xia Zhang', 'Xiangnan Wu', 'Kang Sun', 'Tong Shuai']",10.1109/igarss.2016.7729319,http://dx.doi.org/10.1109/igarss.2016.7729319,7,2016,A ship target automatic detection method for high-resolution remote sensing,['2016 IEEE International Geoscience and Remote Sensing Symposium (IGARSS)'],"([],)",,Science
"The spatial resolution is increasingly high as development of optical remote sensing, and more and more optical sensors can achieve the detection ability of sub meter, which lays down the data foundation for automatic recognition of ship targets. However, mature technology is lacked to identify the ship models automatically with remote sensing images. In this study, an automatic recognition method for ship targets is proposed based on the local invariant feature extraction algorithm SIFT (Scale Invariant Feature Transform), which is consist of feature extraction and description, feature matching and target recognition. The model of unknown target is identified based on the target library using the matching difference of targets with the same model and different models. The experiment results show that this automatic recognition flow is effective to identify the ship targets of interest based on the target library, and the total correct recognition rate is 92%. This method provides a new flow for automatic model recognition of ship targets, and has considerable potential for wide applications.","['J Chen', 'B Shi', 'K Sun', 'T Shuai']",10.1109/EORSA.2016.7552786,https://www.semanticscholar.org/paper/a6beeea9ae6f3b258182722e11a23a8e56d5e036,0,2016,A ship target automatic recognition method for sub-meter remote sensing images,2016 4th International Workshop on Earth Observation and Remote Sensing Applications (EORSA),,['Computer Science'],Computer Sciences
,"['Hichem Sahbi', 'Quentin Oliveau']",10.1109/igarss.2016.7729015,http://dx.doi.org/10.1109/igarss.2016.7729015,7,2016,Attribute learning for ship category recognition in remote sensing imagery,['2016 IEEE International Geoscience and Remote Sensing Symposium (IGARSS)'],"([],)",,Science
,"['Yiping Yang', 'Lubin Weng', 'Hongzhen Wang', 'Zikun Liu']",10.1109/lgrs.2016.2565705,http://dx.doi.org/10.1109/lgrs.2016.2565705,8,2016,Ship Rotated Bounding Box Space for Ship Extraction From High-Resolution Optical Satellite Images With Complex Backgrounds,['IEEE Geoscience and Remote Sensing Letters'],"(['Electrical and Electronic Engineering', 'Geotechnical Engineering and Engineering Geology'],)",,Engineering
,"['Zhimin Zhou', 'Wei Xiong', 'Libo Yao', 'Yong Liu']",10.1109/igarss.2016.7730710,http://dx.doi.org/10.1109/igarss.2016.7730710,7,2016,Fusion detection of ship targets in low resolution multi-spectral images,['2016 IEEE International Geoscience and Remote Sensing Symposium (IGARSS)'],"([],)",,Science
,"['Liang Han', 'Qiang Zhang', 'Ying Li', 'Bingxin Liu']",10.1007/s12524-016-0575-4,http://dx.doi.org/10.1007/s12524-016-0575-4,4,2016,The Application of GF-1 Imagery to Detect Ships on the Yangtze River,['Journal of the Indian Society of Remote Sensing'],"(['Earth and Planetary Sciences (miscellaneous)', 'Geography, Planning and Development'],)",,Science
,"['Zhongke Yin', 'Fan Chen', 'Heng-Ming Tai', 'Hongjie He', 'Yudong Lin']",10.1007/s11042-016-3857-5,http://dx.doi.org/10.1007/s11042-016-3857-5,8,2016,Rotation and scale invariant target detection in optical remote sensing images based on pose-consistency voting,['Multimedia Tools and Applications'],"(['Computer Networks and Communications', 'Hardware and Architecture', 'Media Technology', 'Software'],)",,Communication
,"['Jihong Pei', 'Lixia Wang', 'Weixin Xie', 'Xiaoqi Li']",10.1109/icsp.2016.7877934,http://dx.doi.org/10.1109/icsp.2016.7877934,11,2016,Ship detection based on surface fitting modeling for large range background of ocean images,['2016 IEEE 13th International Conference on Signal Processing (ICSP)'],"([],)",,Science
,"['Ji-Yang Yu', 'Lu-Yuan Wang', 'Jian Guo', 'He-Ping Zhao', 'Wen-Juan Li']",10.1109/icsp.2016.7877908,http://dx.doi.org/10.1109/icsp.2016.7877908,11,2016,A multi-scale fractal dimension based onboard ship saliency detection algorithm,['2016 IEEE 13th International Conference on Signal Processing (ICSP)'],"([],)",,Science
,"['Fei Wu', 'Bo Wang', 'Zhiqiang Zhou', 'Sun Li']",10.1109/lgrs.2016.2618385,http://dx.doi.org/10.1109/lgrs.2016.2618385,12,2016,A Novel Inshore Ship Detection via Ship Head Classification and Body Boundary Determination,['IEEE Geoscience and Remote Sensing Letters'],"(['Electrical and Electronic Engineering', 'Geotechnical Engineering and Engineering Geology'],)",,Engineering
,"['Lingjie Meng', 'Chao Dong', 'Huijie Zhao', 'Qiaochu Zhang', 'Na Li']",10.1117/12.2246390,http://dx.doi.org/10.1117/12.2246390,10,2016,Ship detection in high spatial resolution remote sensing image based on improved sea-land segmentation,['Hyperspectral Remote Sensing Applications and Environmental Monitoring and Safety Testing Technology'],"([],)",,Science
,"['Yiyun Man', 'Haichao Li']",10.1109/igarss.2016.7729316,http://dx.doi.org/10.1109/igarss.2016.7729316,7,2016,Moving ship detection based on visual saliency for video satellite,['2016 IEEE International Geoscience and Remote Sensing Symposium (IGARSS)'],"([],)",,Science
,"['L ', 'L Wen-Juan', 'W Xin', 'H Lu-Yuan', 'Y Dan', 'Ji-Yang ']",10.1109/ICSP.2016.7877827,http://dx.doi.org/10.1109/icsp.2016.7877827,0,2016,On-board ship targets detection method based on multi-scale salience enhancement for remote sensing image,['2016 IEEE 13th International Conference on Signal Processing (ICSP)'],"([],)",,Science
,"['W ', 'G Yan-Hua', 'W Jian', 'H Lu-Yuan', 'Y Dan', 'Ji-Yang ']",10.1109/ICSP.2016.7877824,http://dx.doi.org/10.1109/icsp.2016.7877824,0,2016,A real-time on-board ship targets detection method for optical remote sensing satellite,['2016 IEEE 13th International Conference on Signal Processing (ICSP)'],"([],)",,Science
,"['X Xia', 'H Xu', 'S Huang']",10.1016/j.ijleo.2016.09.089,http://dx.doi.org/10.1016/j.ijleo.2016.09.089,0,2016,Active deep belief networks for ship recognition based on BvSB,['Optik'],"(['Electrical and Electronic Engineering', 'Atomic and Molecular Physics, and Optics', 'Electronic, Optical and Magnetic Materials'],)",,Engineering
,L V Hung,,,0,2016,Operational Detection and Management of Ships in Vietnam Coastal Region Using VNREDSAT-1 Image,,,,Science
,H Heiselberg,10.3390/rs8121033,http://dx.doi.org/10.3390/rs8121033,12,2016,A Direct and Fast Methodology for Ship Recognition in Sentinel-2 Multispectral Imagery,['Remote Sensing'],"(['General Earth and Planetary Sciences'],)",,Science
". Reliably ship detection in optical satellite images has a wide application in both military and civil fields. However, this problem is very difficult in complex backgrounds, such as waves, clouds, and small islands. Aiming at these issues, this paper explores an automatic and robust model for ship detection in large-scale optical satellite images, which relies on detecting statistical signatures of ship targets, in terms of biologically-inspired visual features. This model first selects salient candidate regions across large-scale images by using a mechanism based on biologically-inspired visual features, combined with visual attention model with local binary pattern (CVLBP). Different from traditional studies, the proposed algorithm is high-speed and helpful to focus on the suspected ship areas avoiding the separation step of land and sea. Largearea images are cut into small image chips and analyzed in two complementary ways: Sparse saliency using visual attention model and detail signatures using LBP features, thus accordant with sparseness of ship distribution on images. Then these features are employed to classify each chip as containing ship targets or not, using a support vector machine (SVM). After getting the suspicious areas, there are still some false alarms such as microwaves and small ribbon clouds, thus simple shape and texture analysis are adopted to distinguish between ships and nonships in suspicious areas. Experimental results show the proposed method is insensitive to waves, clouds, illumination and ship size.","['Song Zhina', 'Sui Haigang']",10.5194/isprs-archives-xli-b3-917-2016,http://dx.doi.org/10.5194/isprs-archives-xli-b3-917-2016,6,2016,A NOVEL SHIP DETECTION METHOD FOR LARGE-SCALE OPTICAL SATELLITE IMAGES BASED ON VISUAL LBP FEATURE AND VISUAL ATTENTION MODEL,"['The International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences']","([],)",,Science
,"['Stefano Tebaldini', 'Francesco Banda', 'Riccardo Lombardi', 'Mauro Massari', 'Francesco Topputo', 'Andrea Marchesi', 'Martina Aiello', 'Marco Gianinetto']",10.1109/igarss.2016.7729311,http://dx.doi.org/10.1109/igarss.2016.7729311,7,2016,OBIA ship detection with multispectral and SAR images: A simulation for Copernicus security applications,['2016 IEEE International Geoscience and Remote Sensing Symposium (IGARSS)'],"([],)",,Science
". After a long period of drought, the water level of the Danube River has significantly dropped especially on the Romanian sector, in July-August 2015. Danube reached the lowest water level recorded in the last 12 years, causing the blockage of the ships in the sector located close to Zimnicea Harbour. The rising sand banks in the navigable channel congested the commercial traffic for a few days with more than 100 ships involved. The monitoring of the decreasing water level and the traffic jam was performed based on Sentinel-1 and Sentinel-2 free data provided by the European Space Agency and the European Commission within the Copernicus Programme. Specific processing methods (calibration, speckle filtering, geocoding, change detection, image classification, principal component analysis, etc.) were applied in order to generate useful products that the responsible authorities could benefit from. The Sentinel data yielded good results for water mask extraction and ships detection. The analysis continued after the closure of the crisis situation when the water reached the nominal level again. The results indicate that Sentinel data can be successfully used for ship traffic monitoring, building the foundation of future endeavours for a durable monitoring of the Danube River.","['A Badea', 'V G Olteanu', 'V D Poenaru', 'I Dana Negula']",10.5194/isprs-archives-xli-b8-37-2016,http://dx.doi.org/10.5194/isprs-archives-xli-b8-37-2016,6,2016,SENTINEL-1/2 DATA FOR SHIP TRAFFIC MONITORING ON THE DANUBE RIVER,"['The International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences']","([],)",,Science
,"['V P Mahadevan Pillai', 'Dintu Thomas', 'Sajan Amabdiyil']",10.1109/wispnet.2016.7566303,http://dx.doi.org/10.1109/wispnet.2016.7566303,3,2016,Marine vessel detection comparing GPRS and satellite images for security applications,"['2016 International Conference on Wireless Communications, Signal Processing and Networking (WiSPNET)']","([],)",,Science
,"['Akira Iwasaki', 'Naoto Yokoya']",10.1109/jstars.2015.2404578,http://dx.doi.org/10.1109/jstars.2015.2404578,5,2015,Object Detection Based on Sparse Representation and Hough Voting for Optical Remote Sensing Imagery,['IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing'],"(['Atmospheric Science', 'Computers in Earth Sciences'],)",,Atmospheric Sciences
,"['Lei Hu', 'Feng Gao', 'Qizhi Xu', 'Feng Yang']",10.1109/igarss.2015.7326621,http://dx.doi.org/10.1109/igarss.2015.7326621,7,2015,Ship detection from optical satellite images based on visual search mechanism,['2015 IEEE International Geoscience and Remote Sensing Symposium (IGARSS)'],"([],)",,Science
,"['Xin Liu', 'Lei Bing', 'Mingjing Lou', 'Ruolin Meng', 'Qianguo Xing']",10.1016/j.aqpro.2015.02.236,http://dx.doi.org/10.1016/j.aqpro.2015.02.236,3,2015,Remote Sensing of Ships and Offshore Oil Platforms and Mapping the Marine Oil Spill Risk Source in the Bohai Sea,['Aquatic Procedia'],"([],)",,Science
,"['Ganlin Shan', 'Min Gao', 'Suochang Yang', 'Yongguang Chen', 'Gang Wang']",10.1109/icicip.2015.7388207,http://dx.doi.org/10.1109/icicip.2015.7388207,11,2015,Salient target detection in remote sensing image via cellular automata,['2015 Sixth International Conference on Intelligent Control and Information Processing (ICICIP)'],"([],)",,Science
,"['Francesco Banda', 'Stefano Tebaldini', 'Martina Aiello', 'Andrea Marchesi', 'Marco Gianinetto', 'Riccardo Lombardi', 'Mauro Massari', 'Francesco Topputo']",10.1109/igarss.2015.7326917,http://dx.doi.org/10.1109/igarss.2015.7326917,7,2015,Space shepherd: Search and rescue of illegal immigrants in the mediterranean sea through satellite imagery,['2015 IEEE International Geoscience and Remote Sensing Symposium (IGARSS)'],"([],)",,Science
,"['Baojun Zhao', 'Guang-Bin Huang', 'Chenwei Deng', 'Jiexiong Tang']",10.1109/tgrs.2014.2335751,http://dx.doi.org/10.1109/tgrs.2014.2335751,3,2015,Compressed-Domain Ship Detection on Spaceborne Optical Image Using Deep Neural Network and Extreme Learning Machine,['IEEE Transactions on Geoscience and Remote Sensing'],"(['General Earth and Planetary Sciences', 'Electrical and Electronic Engineering'],)",,Engineering
"We propose a novel framework for large-scale maritime ship group surveillance using spaceborne optical imaging satellite data and Electronic Intelligence (ELINT) satellite data. Considering that the size of a ship is usually less than the distance between different ships for large-scale maritime surveillance, we treat each ship as a mass point and ship groups are modelled as point sets. Motivated by the observation that ship groups performing tactical or strategic operations often have a stable topology and their attributes remain unchanged, we combine both topological features and attributive features within the framework of Dempster-Shafer (D-S) theory for coherent ship group analysis. Our method has been tested using different sets of simulated data and recorded data. Experimental results demonstrate our method is robust and efficient for large-scale maritime surveillance.","['C Lu', 'S Zhou', 'K Ji', 'H Zou', 'H Sun']",10.1017/s0373463314000654,http://dx.doi.org/10.1017/s0373463314000654,0,2015,Combined use of optical imaging satellite data and electronic intelligence satellite data for large scale ship group surveillance,['Journal of Navigation'],"(['Ocean Engineering', 'Oceanography'],)",,Science
"In this paper, we introduce a new feature representation based on fusing local texture description of saliency map and enhanced global statistics for ship scene detection in very high-resolution remote sensing images in inland, coastal, and oceanic regions. First, two low computational complexity methods are adopted. Specifically, the Itti attention model is used to extract saliency map, from which local texture histograms are extracted by LBP with uniform pattern. Meanwhile, Gabor filters with multi-scale and multi-orientation are convolved with the input image to extract Gist, means and variances which are used to form the enhanced global statistics. Second, sliding window-based detection is applied to obtain local image patches and extract the fusion of local and global features. SVM with RBF kernel is then used for training and classification. Such detection manner could remove coastal and oceanic regions effectively. Moreover, the ship scene region of interest can be detected accurately. Experiments on 20 very high-resolution remote sensing images collected by Google Earth shows that the fusion feature has advantages than LBP, Saliency map-based LBP and Gist, respectively. Furthermore, desirable results can be obtained in the ship scene detection.","['T Fang', 'H Huo', 'L Wan', 'Y Guo', 'D Shi']",10.1109/PIC.2015.7489860,https://www.semanticscholar.org/paper/7c1448d59429eae8e32d95a1db9a869bcab0e3e0,0,2015,Fusing local texture description of saliency map and enhanced global statistics for ship scene detection,2015 IEEE International Conference on Progress in Informatics and Computing (PIC),,['Computer Science'],Computer Sciences
,"['Xiao-An Tang', 'Libing Jiang', 'Xiaoyuan Ren']",10.1117/12.2203662,http://dx.doi.org/10.1117/12.2203662,12,2015,In-shore ship extraction from HR optical remote sensing image via salience structure and GIS information,"['MIPPR 2015: Remote Sensing Image Processing, Geographic Information Systems, and Other Applications']","([],)",,Science
"With the development of high-resolution imagery, ship detection in optical satellite images has attracted a lot of research interest because of the broad applications in fishery management, vessel salvage, etc. Major challenges for this task include cloud, wave, and wake clutters, and even the variability of ship sizes. In this letter, we propose an unsupervised ship detection method toward overcoming these existing issues. Visual saliency, which focuses on highlighting salient signals from scenes, is applied to extract candidate regions followed by a homogeneous filter presented to confirm suspected ship targets with complete profiles. Then, a novel descriptor, ship histogram of oriented gradient, which characterizes the gradient symmetry of ship sides, is provided to discriminate real ships. Experimental results on numerous panchromatic satellite images demonstrate the good performance of our method compared to state-of-the-art methods.","['J Tian', 'Y Li', 'J Lin', 'J Ma', 'S Qi']",10.1109/LGRS.2015.2408355,https://www.semanticscholar.org/paper/e5d51de128820be2251f1e99c5a19d2ac59e4c00,0,2015,Unsupervised ship detection based on saliency and S-HOG descriptor from optical satellite images,IEEE Geoscience and Remote Sensing Letters,,['Computer Science'],Computer Sciences
,"['Penghao Luo', 'Haopeng Zhang', 'Junfeng Wu', 'Zhiguo Jiang', 'Bin Pan']",10.1007/978-3-662-47791-5_23,http://dx.doi.org/10.1007/978-3-662-47791-5_23,0,2015,Ship Recognition Based on Active Learning and Composite Kernel SVM,"['Communications in Computer and Information Science', 'Advances in Image and Graphics Technologies']","([],)",,Science
,"['Zhenzhong Chen', 'Daiqin Yang', 'Zimeng Li']",10.1109/iri.2015.28,http://dx.doi.org/10.1109/iri.2015.28,8,2015,Multi-layer Sparse Coding Based Ship Detection for Remote Sensing Images,['2015 IEEE International Conference on Information Reuse and Integration'],"([],)",,Science
,H Ju,10.1117/12.2202960,http://dx.doi.org/10.1117/12.2202960,10,2015,Ship detection for high resolution optical imagery with adaptive target filter,['AOPC 2015: Image Processing and Analysis'],"([],)",,Science
,"['Junping Zhang', 'Tianming Jin']",10.1117/12.2228219,http://dx.doi.org/10.1117/12.2228219,12,2015,Ship detection from high-resolution imagery based on land masking and cloud filtering,['Seventh International Conference on Graphic and Image Processing (ICGIP 2015)'],"([],)",,Science
,"['X Xia', 'H Xu', 'S Huang']",10.22323/1.264.0029,http://dx.doi.org/10.22323/1.264.0029,0,2015,A remote sensing ship recognition using random forest,['Proceedings of The fourth International Conference on Information Science and Cloud Computing — PoS(ISCC2015)'],"([],)",,Science
,"['Delie Ming', 'Yunqiu Jiang', 'Yaling Du', 'Qifeng Hu']",10.1117/12.2199814,http://dx.doi.org/10.1117/12.2199814,10,2015,A new method of inshore ship detection in high-resolution optical remote sensing images,['AOPC 2015: Image Processing and Analysis'],"([],)",,Science
,"['Xiaofei Wang', 'Xuezhi Xia', 'Weiya Guo']",10.1016/j.ijleo.2015.07.178,http://dx.doi.org/10.1016/j.ijleo.2015.07.178,12,2015,Variational approximate inferential probability generative model for ship recognition using remote sensing data,['Optik'],"(['Electrical and Electronic Engineering', 'Atomic and Molecular Physics, and Optics', 'Electronic, Optical and Magnetic Materials'],)",,Engineering
"Aiming at detecting sea targets efficiently, an approach using optical remote sensing data based on co-training model is proposed. Firstly, using size, texture, shape, moment invariants features and ratio codes, feature extraction is realized. Secondly, based on rough set theory, the common discernibility degree is used to select valid recognition features automatically. Finally, a co-training model for classification is introduced. Firstly, two diverse ruducts are generated, and then the model employs them to train two base classifiers on labeled dada, and makes two base classifiers teach each other on unlabeled data to boot their performance iteratively. Experimental results show the proposed approach can get better performance than K-Nearest Neighbor (KNN), Support Vector Machines (SVM), traditional hierarchical discriminant regression (HDR).","['X Z Xia', 'X F Wang', 'W Guo']",10.4028/www.scientific.net/AMM.713-715.2077,https://www.semanticscholar.org/paper/87e861e30ef9045627b690fead5a6999b7665242,0,2015,A remote sensing ship recognition method based on co-training model,,,['Engineering'],Science
,"['Lizhe Wang', 'Peng Liu', 'Lu Gan']",10.1109/iscid.2015.248,http://dx.doi.org/10.1109/iscid.2015.248,12,2015,Rotation Sliding Window of the Hog Feature in Remote Sensing Images for Ship Detection,['2015 8th International Symposium on Computational Intelligence and Design (ISCID)'],"([],)",,Science
,"['A A Alatan', 'Beril Beşbinar']",10.1117/12.2194928,http://dx.doi.org/10.1117/12.2194928,10,2015,Inshore ship detection in high-resolution satellite images: approximation of harbors using sea-land segmentation,['Image and Signal Processing for Remote Sensing XXI'],"([],)",,Science
,V Fernandez Arguedas,10.1109/ICIP.2015.7351529,http://dx.doi.org/10.1109/icip.2015.7351529,0,2015,Texture-based vessel classifier for electro-optical satellite imagery,['2015 IEEE International Conference on Image Processing (ICIP)'],"([],)",,Science
"Automatic ship detection in high-resolution optical satellite images with various sea surfaces is a challenging task. In this letter, we propose a novel detection method based on sea surface analysis to solve this problem. The proposed method first analyzes whether the sea surface is homogeneous or not by using two new features. Then, a novel linear function combining pixel and region characteristics is employed to select ship candidates. Finally, Compactness and Length-width ratio are adopted to remove false alarms. Specifically, based on the sea surface analysis, the proposed method cannot only efficiently block out no-candidate regions to reduce computational time, but also automatically assign weights for candidate selection function to optimize the detection performance. Experimental results on real panchromatic satellite images demonstrate the detection accuracy and computational efficiency of the proposed method.","['Q Xu', 'F Gao', 'S Ji', 'B Li', 'G Yang']",10.1109/LGRS.2013.2273552,https://www.semanticscholar.org/paper/a616859922705dfd36976561b8e20c78b683dd31,0,2014,Ship detection from optical satellite images based on sea surface analysis,IEEE Geoscience and Remote Sensing Letters,,['Computer Science'],Computer Sciences
"In this letter, we propose a new detection framework based on robust invariant generalized Hough transform (RIGHT) to solve the problem of detecting inshore ships in high-resolution remote sensing imagery. The invariant generalized Hough transform is an effective shape extraction technique, but it is not adaptive to shape deformation well. In order to improve its adaptability, we use an iterative training method to learn a robust shape model automatically. The model could capture the shape variability of the target contained in the training data set, and every point in the model is equipped with an individual weight according to its importance, which greatly reduces the false-positive rate. Through the iteration process, the model performance is gradually improved by extending the shape model with these necessary weighted points. Experimental result demonstrates the precision, robustness, and effectiveness of our detection framework based on RIGHT.","['K Fu', 'D Zhang', 'X Sun', 'J Xu']",10.1109/LGRS.2014.2319082,https://www.semanticscholar.org/paper/249ec8b14d08ca136a5903d4938ecba676e88844,0,2014,Automatic detection of inshore ships in highresolution remote sensing images using robust invariant generalized Hough transform,IEEE Geoscience and Remote Sensing Letters,,"['Computer Science', 'Mathematics']",Computer Sciences
,"['Lihua Yue', 'Peiquan Jin', 'Shouhong Wan', 'Yu Xia']",10.14257/ijsip.2014.7.3.19,http://dx.doi.org/10.14257/ijsip.2014.7.3.19,6,2014,A Novel Sea-Land Segmentation Algorithm Based on Local Binary Patterns for Ship Detection,"['International Journal of Signal Processing, Image Processing and Pattern Recognition']","(['Signal Processing'],)",,Science
"Reliably ship detection in optical satellite images has a wide application in both military and civil fields. However, the problem is extremely difficult in the complex background, such as waves, clouds, and small islands. Aiming at these issues, this paper explores an automatic and robust algorithm based on biologically-inspired visual features, combined with visual attention model with local binary pattern (CVLBP). Different from traditional studies, the proposed algorithm is simple, general, and not designed for specific types of images. Large-area images are cut into small image chips and analyzed in two complementary ways: Sparse saliency using visual attention model and detail signatures using LBP features, thus accordant with sparseness of ship distribution on images. Then these features are employed to classify each chip as containing ship target or not, using a support vector machine method. Experimental results show the proposed method is insensitive to waves, clouds, and illumination, as well as high precision and low false alarms performance.","['Y Wang', 'H Sui', 'Z Song']",10.1109/IWECA.2014.6845723,https://www.semanticscholar.org/paper/04e1ba85a13543c100642e5d668fb541c16de3df,0,2014,Automatic ship detection for optical satellite images based on visual attention model and LBP,"2014 IEEE Workshop on Electronics, Computer and Applications",,['Geography'],Science
"Ship detection in high-resolution optical imagery is a challenging task due to the variable appearances of ships and background. This paper aims at further investigating this problem and presents an approach to detect ships in a “coarse-to-fine” manner. First, to increase the separability between ships and background, we concentrate on the pixels in the vicinities of ships. We rearrange the spatially adjacent pixels into a vector, transforming the panchromatic image into a “fake” hyperspectral form. Through this procedure, each produced vector is endowed with some contextual information, which amplifies the separability between ships and background. Afterward, for the “fake” hyperspectral image, a hyperspectral algorithm is applied to extract ship candidates preliminarily and quickly by regarding ships as anomalies. Finally, to validate real ships out of ship candidates, an extra feature is provided with histograms of oriented gradients (HOGs) to generate a hypothesis using AdaBoost algorithm. This extra feature focuses on the gray values rather than the gradients of an image and includes some information generated by very near but not closely adjacent pixels, which can reinforce HOG to some degree. Experimental results on real database indicate that the hyperspectral algorithm is robust, even for the ships with low contrast. In addition, in terms of the shape of ships, the extended HOG feature turns out to be better than HOG itself as well as some other features such as local binary pattern.","['B Li', 'Z Jiang', 'X Yu', 'Z Shi']",10.1109/TGRS.2013.2282355,https://www.semanticscholar.org/paper/6c8a98abd8f5084569e50d7efe4952ad774bf602,0,2014,Ship detection in high-resolution optical imagery based on anomaly detector and local shape feature,IEEE Transactions on Geoscience and Remote Sensing,,['Computer Science'],Computer Sciences
,"['George Miliaresis', 'Panagiotis Partsinevelos']",10.1117/12.2069202,http://dx.doi.org/10.1117/12.2069202,8,2014,Ship extraction and categorization from ASTER VNIR imagery,['Second International Conference on Remote Sensing and Geoinformation of the Environment (RSCy2014)'],"([],)",,Science
"In this letter, we present a new method to detect inshore ships using shape and context information. We first propose a new energy function based on an active contour model to segment water and land and minimize it with an iterative global optimization method. The proposed energy performs well on the different intensity distributions between water and land and produces a result that can be well used in shape and context analyses. In the segmented image, ships are detected with successive shape analysis, including shape analysis in the localization of ship head and region growing in computing the width and length of ship. Finally, to locate ships accurately and remove the false alarms, we unify them with a binary linear programming problem by utilizing the context information. Experiments on QuickBird images show the robustness and precision of our method.","['H Wang', 'K Fu', 'X Sun', 'X Zheng', 'Y Zhang', 'G Liu']",10.1109/LGRS.2013.2272492,https://www.semanticscholar.org/paper/15053f6b4961ac060bbc78caf7c09c3ea2783ef9,0,2014,A new method on inshore ship detection in high-resolution satellite images using shape and context information,IEEE Geoscience and Remote Sensing Letters,,"['Computer Science', 'Mathematics']",Computer Sciences
,"['K Oštir', 'P Pehani', 'A Marsetič', 'U Kanjir']",,,0,2014,An automatic procedure for small vessel detection from very-high resolution optical imagery,,,,Science
,"['Ali Khenchaf', 'Guillaume Jubelin']",10.1117/12.2067154,http://dx.doi.org/10.1117/12.2067154,10,2014,A unified algorithm for ship detection on optical and SAR spaceborne images,['Image and Signal Processing for Remote Sensing XX'],"([],)",,Science
,"['G Wang', 'W Zhou', 'Y Cong', 'B Jin']",10.1109/PIC.2014.6972354,http://dx.doi.org/10.1109/pic.2014.6972354,0,2014,A new method for detection of ship docked in harbor in high resolution remote sensing image,['2014 IEEE International Conference on Progress in Informatics and Computing'],"([],)",,Science
